"filename", "language", "Markdown", "JSON", "Log", "PHP", "TypeScript", "HTML", "JavaScript", "SCSS", "XML", "CSS", "comment", "blank", "total"
"f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravel.php", "PHP", 0, 0, 0, -196, 0, 0, 0, 0, 0, 0, -43, -22, -261
"f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\config.php", "PHP", 0, 0, 0, -123, 0, 0, 0, 0, 0, 0, -3, -11, -137
"f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\help.php", "PHP", 0, 0, 0, -24, 0, 0, 0, 0, 0, 0, -3, -7, -34
"f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\plugins.php", "PHP", 0, 0, 0, -55, 0, 0, 0, 0, 0, 0, -3, -8, -66
"f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\qqBot.php", "PHP", 0, 0, 0, -97, 0, 0, 0, 0, 0, 0, -3, -9, -109
"f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\stay.php", "PHP", 0, 0, 0, -139, 0, 0, 0, 0, 0, 0, -12, -28, -179
"f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\stay\Connection\ConnectionInterface.php", "PHP", 0, 0, 0, -25, 0, 0, 0, 0, 0, 0, -87, -15, -127
"f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\stay\Connection\TcpConnection.php", "PHP", 0, 0, 0, -449, 0, 0, 0, 0, 0, 0, -410, -84, -943
"f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\stay\Events\EventInterface.php", "PHP", 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, -78, -13, -108
"f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\stay\Events\Select.php", "PHP", 0, 0, 0, -216, 0, 0, 0, 0, 0, 0, -108, -33, -357
"f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\stay\Protocols\Http.php", "PHP", 0, 0, 0, -210, 0, 0, 0, 0, 0, 0, -89, -25, -324
"f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\stay\Protocols\Http\Chunk.php", "PHP", 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, -30, -4, -48
"f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\stay\Protocols\Http\Request.php", "PHP", 0, 0, 0, -406, 0, 0, 0, 0, 0, 0, -228, -46, -680
"f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\stay\Protocols\Http\Response.php", "PHP", 0, 0, 0, -244, 0, 0, 0, 0, 0, 0, -176, -39, -459
"f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\stay\Protocols\Http\ServerSentEvents.php", "PHP", 0, 0, 0, -31, 0, 0, 0, 0, 0, 0, -30, -3, -64
"f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\stay\Protocols\Http\Session.php", "PHP", 0, 0, 0, -180, 0, 0, 0, 0, 0, 0, -216, -46, -442
"f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\stay\Protocols\Http\Session\FileSessionHandler.php", "PHP", 0, 0, 0, -92, 0, 0, 0, 0, 0, 0, -76, -15, -183
"f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\stay\Protocols\Http\Session\RedisClusterSessionHandler.php", "PHP", 0, 0, 0, -26, 0, 0, 0, 0, 0, 0, -15, -6, -47
"f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\stay\Protocols\Http\Session\RedisSessionHandler.php", "PHP", 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, -55, -20, -155
"f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\stay\Protocols\Http\Session\SessionHandlerInterface.php", "PHP", 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, -93, -11, -116
"f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\stay\loder.php", "PHP", 0, 0, 0, -51, 0, 0, 0, 0, 0, 0, 0, -7, -58
"f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\stay\test.php", "PHP", 0, 0, 0, -66, 0, 0, 0, 0, 0, 0, 0, -12, -78
"f:\Project\工作文件夹\MiraiTravel-Worker\core\plugin.php", "PHP", 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, -12, -10, -45
"f:\Project\工作文件夹\MiraiTravel-Worker\core\pluginSystem.php", "PHP", 0, 0, 0, -87, 0, 0, 0, 0, 0, 0, -35, -25, -147
"f:\Project\工作文件夹\MiraiTravel-Worker\core\scriptSystem.php", "PHP", 0, 0, 0, -44, 0, 0, 0, 0, 0, 0, -13, -9, -66
"f:\Project\工作文件夹\MiraiTravel-Worker\docs\Component.md", "Markdown", -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -14
"f:\Project\工作文件夹\MiraiTravel-Worker\docs\MiraiTravel.md", "Markdown", -29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -39
"f:\Project\工作文件夹\MiraiTravel-Worker\docs\Plugin.md", "Markdown", -28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -35
"f:\Project\工作文件夹\MiraiTravel-Worker\docs\QQBot.md", "Markdown", -55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, -70
"f:\Project\工作文件夹\MiraiTravel-Worker\docs\QQBot\QQBot手册.md", "Markdown", -47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, -62
"f:\Project\工作文件夹\MiraiTravel-Worker\docs\System.md", "Markdown", -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -12
"f:\Project\工作文件夹\MiraiTravel-Worker\docs\System\开放对象.md", "Markdown", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -8
"f:\Project\工作文件夹\MiraiTravel-Worker\logs\Script\QQ\2771717841\script.log", "Log", 0, 0, -102, 0, 0, 0, 0, 0, 0, 0, 0, 0, -102
"f:\Project\工作文件夹\MiraiTravel-Worker\logs\Script\QQ\2771717841\sendMessage.log", "Log", 0, 0, -31, 0, 0, 0, 0, 0, 0, 0, 0, -26, -57
"f:\Project\工作文件夹\MiraiTravel-Worker\logs\Script\QQ\2771717841\webhook.log", "Log", 0, 0, -124, 0, 0, 0, 0, 0, 0, 0, 0, 0, -124
"f:\Project\工作文件夹\MiraiTravel-Worker\logs\httpAdapter.log", "Log", 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, 0, 0, -90
"f:\Project\工作文件夹\MiraiTravel-Worker\logs\miraiApiHttp.log", "Log", 0, 0, -60, 0, 0, 0, 0, 0, 0, 0, 0, 0, -60
"f:\Project\工作文件夹\MiraiTravel-Worker\logs\miraiTravel.log", "Log", 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2
"f:\Project\工作文件夹\MiraiTravel-Worker\logs\webhook.log", "Log", 0, 0, -56, 0, 0, 0, 0, 0, 0, 0, 0, -1, -57
"f:\Project\工作文件夹\MiraiTravel-Worker\plugins\QQ\bilibiliFans\V0.1.0\bilibiliFans.php", "PHP", 0, 0, 0, -58, 0, 0, 0, 0, 0, 0, 0, -12, -70
"f:\Project\工作文件夹\MiraiTravel-Worker\plugins\QQ\bilibiliFans\V0.1.0\config.json", "JSON", 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8
"f:\Project\工作文件夹\MiraiTravel-Worker\plugins\QQ\groupManager\V0.1.0\config.json", "JSON", 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10
"f:\Project\工作文件夹\MiraiTravel-Worker\plugins\QQ\groupManager\V0.1.0\groupManager.php", "PHP", 0, 0, 0, -100, 0, 0, 0, 0, 0, 0, -3, -15, -118
"f:\Project\工作文件夹\MiraiTravel-Worker\plugins\QQ\runoobC\V0.1.0\README.md", "Markdown", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -9
"f:\Project\工作文件夹\MiraiTravel-Worker\plugins\QQ\runoobC\V0.1.0\config.json", "JSON", 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10
"f:\Project\工作文件夹\MiraiTravel-Worker\plugins\QQ\runoobC\V0.1.0\runoobC.php", "PHP", 0, 0, 0, -125, 0, 0, 0, 0, 0, 0, 0, -14, -139
"f:\Project\工作文件夹\MiraiTravel-Worker\public\index.php", "PHP", 0, 0, 0, -35, 0, 0, 0, 0, 0, 0, -4, -6, -45
"f:\Project\工作文件夹\MiraiTravel-Worker\public\webhook.php", "PHP", 0, 0, 0, -65, 0, 0, 0, 0, 0, 0, -6, -14, -85
"f:\Project\工作文件夹\MiraiTravel-Worker\script\Administrator\QQ.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"f:\Project\工作文件夹\MiraiTravel-Worker\script\President\QQ.php", "PHP", 0, 0, 0, -13, 0, 0, 0, 0, 0, 0, -10, -6, -29
"f:\Project\工作文件夹\MiraiTravel-Worker\script\QQ\2771717841.php", "PHP", 0, 0, 0, -38, 0, 0, 0, 0, 0, 0, -49, -13, -100
"f:\Project\工作文件夹\MiraiTravel-Worker\script\email\eMail01.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"f:\Project\工作文件夹\MiraiTravel-Worker\script\email\eMail01\config.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"f:\Project\工作文件夹\MiraiTravel\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
"f:\Project\工作文件夹\MiraiTravel\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\miraiAdapter\basic\QQObjTrait.php", "PHP", 0, 0, 0, 377, 0, 0, 0, 0, 0, 0, 144, 40, 561
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\miraiAdapter\basic\httpAdapter.php", "PHP", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 10, 12, 116
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\miraiAdapter\basic\messageChain.php", "PHP", 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 56, 23, 214
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\miraiAdapter\basic\miraiApiHttp.php", "PHP", 0, 0, 0, 286, 0, 0, 0, 0, 0, 0, 172, 52, 510
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\miraiAdapter\basic\president.php", "PHP", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 8, 6, 33
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\miraiAdapter\basic\qqObj.php", "PHP", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 4, 15
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\miraiAdapter\basic\webhookAdapter.php", "PHP", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 17, 9, 58
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\miraiAdapter\config.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\miraiAdapter\easyQQ\easyQQ.php", "PHP", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 11, 5, 50
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\miraiAdapter\mirai.php", "PHP", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 2, 15
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\miraiAdapter\webhook\webhook.php", "PHP", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 19, 6, 73
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\onebotAapter\config.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\onebotAapter\onebot.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\standard\basic\President.php", "PHP", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 19, 10, 51
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\standard\basic\QQObj.php", "PHP", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\standard\basic\QQObjInterface.php", "PHP", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 193, 39, 279
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\standard\basic\QQObjManager.php", "PHP", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 14, 9, 77
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\standard\basic\QQObjTrait.php", "PHP", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 174, 41, 285
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\standard\basic\messageChain.php", "PHP", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 56, 16, 93
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\standard\easyQQ\easyQQ.php", "PHP", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 11, 8, 61
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\standard\webhook.php\webhook.php", "PHP", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 11, 7, 52
"f:\Project\工作文件夹\MiraiTravel\CODE_OF_CONDUCT.md", "Markdown", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 129
"f:\Project\工作文件夹\MiraiTravel\CONTRIBUTING.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"f:\Project\工作文件夹\MiraiTravel\MiraiTravel.php", "PHP", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 6, 15
"f:\Project\工作文件夹\MiraiTravel\README.md", "Markdown", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 68
"f:\Project\工作文件夹\MiraiTravel\core\AdapterSystem.php", "PHP", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 28, 13, 87
"f:\Project\工作文件夹\MiraiTravel\core\Component.php", "PHP", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 22, 14, 76
"f:\Project\工作文件夹\MiraiTravel\core\DataSystem.php", "PHP", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 21, 11, 130
"f:\Project\工作文件夹\MiraiTravel\core\apter.php", "PHP", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 5, 9
"f:\Project\工作文件夹\MiraiTravel\core\componentSystem.php", "PHP", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 9, 10, 47
"f:\Project\工作文件夹\MiraiTravel\core\loadMiraiTravel.php", "PHP", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 25, 19, 87
"f:\Project\工作文件夹\MiraiTravel\core\logSystem.php", "PHP", 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 72, 32, 301
"f:\Project\工作文件夹\MiraiTravel\core\miraiSoftware.php", "PHP", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 2, 17
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravel.php", "PHP", 0, 0, 0, 196, 0, 0, 0, 0, 0, 0, 44, 22, 262
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\Config.php", "PHP", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 4, 15, 144
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\Help.php", "PHP", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 7, 34
