"filename", "language", "Markdown", "PHP", "comment", "blank", "total"
"f:\Project\工作文件夹\MiraiTravel\README.md", "Markdown", 0, 0, 1, -1, 0
"f:\Project\工作文件夹\MiraiTravel\components\easyMirai\V0.1.1\easyMirai.php", "PHP", 0, 21, 1, 0, 22
"Total", "-", 0, 21, 2, -1, 22
