Date : 2023-04-03 16:48:00
Directory : f:\Project\工作文件夹\MiraiTravel-Worker
Total : 87 files,  6035 codes, 2871 comments, 1112 blanks, all 10018 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\stay\Protocols\Http\Session\RedisClusterSessionHandler.php | PHP      |         26 |         15 |          6 |         47 |
| f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\stay\Protocols\Http\Session\RedisSessionHandler.php        | PHP      |         80 |         55 |         20 |        155 |
| f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\stay\Protocols\Http\Session\SessionHandlerInterface.php    | PHP      |         12 |         93 |         11 |        116 |
| f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\stay\loder.php                                             | PHP      |         51 |          0 |          7 |         58 |
| f:\Project\工作文件夹\MiraiTravel-Worker\core\miraiTravelSoftware\stay\test.php                                              | PHP      |         66 |          0 |         12 |         78 |
| f:\Project\工作文件夹\MiraiTravel-Worker\core\plugin.php                                                                     | PHP      |         23 |         12 |         10 |         45 |
| f:\Project\工作文件夹\MiraiTravel-Worker\core\pluginSystem.php                                                               | PHP      |         87 |         35 |         25 |        147 |
| f:\Project\工作文件夹\MiraiTravel-Worker\core\scriptSystem.php                                                               | PHP      |         44 |         13 |          9 |         66 |
| f:\Project\工作文件夹\MiraiTravel-Worker\docs\Component.md                                                                   | Markdown |          6 |          0 |          8 |         14 |
| f:\Project\工作文件夹\MiraiTravel-Worker\docs\MiraiTravel.md                                                                 | Markdown |         29 |          0 |         10 |         39 |
| f:\Project\工作文件夹\MiraiTravel-Worker\docs\Plugin.md                                                                      | Markdown |         28 |          0 |          7 |         35 |
| f:\Project\工作文件夹\MiraiTravel-Worker\docs\QQBot.md                                                                       | Markdown |         55 |          0 |         15 |         70 |
| f:\Project\工作文件夹\MiraiTravel-Worker\docs\QQBot\QQBot手册.md                                                               | Markdown |         47 |          0 |         15 |         62 |
| f:\Project\工作文件夹\MiraiTravel-Worker\docs\System.md                                                                      | Markdown |          8 |          0 |          4 |         12 |
| f:\Project\工作文件夹\MiraiTravel-Worker\docs\System\开放对象.md                                                                 | Markdown |          3 |          0 |          5 |          8 |
| f:\Project\工作文件夹\MiraiTravel-Worker\logs\Script\QQ\2771717841\script.log                                                | Log      |        102 |          0 |          0 |        102 |
| f:\Project\工作文件夹\MiraiTravel-Worker\logs\Script\QQ\2771717841\sendMessage.log                                           | Log      |         31 |          0 |         26 |         57 |
| f:\Project\工作文件夹\MiraiTravel-Worker\logs\Script\QQ\2771717841\webhook.log                                               | Log      |        124 |          0 |          0 |        124 |
| f:\Project\工作文件夹\MiraiTravel-Worker\logs\httpAdapter.log                                                                | Log      |         90 |          0 |          0 |         90 |
| f:\Project\工作文件夹\MiraiTravel-Worker\logs\miraiApiHttp.log                                                               | Log      |         60 |          0 |          0 |         60 |
| f:\Project\工作文件夹\MiraiTravel-Worker\logs\miraiTravel.log                                                                | Log      |          2 |          0 |          0 |          2 |
| f:\Project\工作文件夹\MiraiTravel-Worker\logs\webhook.log                                                                    | Log      |         56 |          0 |          1 |         57 |
| f:\Project\工作文件夹\MiraiTravel-Worker\plugins\QQ\bilibiliFans\V0.1.0\bilibiliFans.php                                     | PHP      |         58 |          0 |         12 |         70 |
| f:\Project\工作文件夹\MiraiTravel-Worker\plugins\QQ\bilibiliFans\V0.1.0\config.json                                          | JSON     |          8 |          0 |          0 |          8 |
| f:\Project\工作文件夹\MiraiTravel-Worker\plugins\QQ\groupManager\V0.1.0\config.json                                          | JSON     |         10 |          0 |          0 |         10 |
| f:\Project\工作文件夹\MiraiTravel-Worker\plugins\QQ\groupManager\V0.1.0\groupManager.php                                     | PHP      |        100 |          3 |         15 |        118 |
| f:\Project\工作文件夹\MiraiTravel-Worker\plugins\QQ\runoobC\V0.1.0\README.md                                                 | Markdown |          5 |          0 |          4 |          9 |
| f:\Project\工作文件夹\MiraiTravel-Worker\plugins\QQ\runoobC\V0.1.0\config.json                                               | JSON     |         10 |          0 |          0 |         10 |
| f:\Project\工作文件夹\MiraiTravel-Worker\plugins\QQ\runoobC\V0.1.0\runoobC.php                                               | PHP      |        125 |          0 |         14 |        139 |
| f:\Project\工作文件夹\MiraiTravel-Worker\public\index.php                                                                    | PHP      |         35 |          4 |          6 |         45 |
| f:\Project\工作文件夹\MiraiTravel-Worker\public\webhook.php                                                                  | PHP      |         65 |          6 |         14 |         85 |
| f:\Project\工作文件夹\MiraiTravel-Worker\script\Administrator\QQ.php                                                         | PHP      |          0 |          0 |          1 |          1 |
| f:\Project\工作文件夹\MiraiTravel-Worker\script\President\QQ.php                                                             | PHP      |         13 |         10 |          6 |         29 |
| f:\Project\工作文件夹\MiraiTravel-Worker\script\QQ\2771717841.php                                                            | PHP      |         38 |         49 |         13 |        100 |
| f:\Project\工作文件夹\MiraiTravel-Worker\script\email\eMail01.php                                                            | PHP      |          0 |          0 |          1 |          1 |
| f:\Project\工作文件夹\MiraiTravel-Worker\script\email\eMail01\config.json                                                    | JSON     |          0 |          0 |          1 |          1 |
| Total                                                                                                                   |          |      6,035 |      2,871 |      1,112 |     10,018 |
+-------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
