"filename", "language", "Markdown", "PHP", "comment", "blank", "total"
"f:\Project\工作文件夹\MiraiTravel\README.md", "Markdown", 1, 0, 0, 0, 1
"f:\Project\工作文件夹\MiraiTravel\components\easyMirai\V0.1.1\easyMirai.php", "PHP", 0, 6, 1, 2, 9
"Total", "-", 1, 6, 1, 2, 10
