"filename", "language", "PHP", "Markdown", "Log", "comment", "blank", "total"
"f:\Project\工作文件夹\MiraiTravel\MiraiTravel.php", "PHP", 206, 0, 0, 11, 27, 244
"f:\Project\工作文件夹\MiraiTravel\README.md", "Markdown", 0, 38, 0, 0, 13, 51
"f:\Project\工作文件夹\MiraiTravel\components\easyMirai\V0.1.1\easyMirai.php", "PHP", 32, 0, 0, 6, 7, 45
"f:\Project\工作文件夹\MiraiTravel\components\webhook\V0.1.1\webhook.php", "PHP", 31, 0, 0, 19, 7, 57
"f:\Project\工作文件夹\MiraiTravel\core\component.php", "PHP", 39, 0, 0, 20, 18, 77
"f:\Project\工作文件夹\MiraiTravel\core\componentSystem.php", "PHP", 40, 0, 0, 9, 11, 60
"f:\Project\工作文件夹\MiraiTravel\core\dataSystem.php", "PHP", 112, 0, 0, 25, 12, 149
"f:\Project\工作文件夹\MiraiTravel\core\httpAdapter.php", "PHP", 92, 0, 0, 10, 11, 113
"f:\Project\工作文件夹\MiraiTravel\core\logSystem.php", "PHP", 106, 0, 0, 27, 9, 142
"f:\Project\工作文件夹\MiraiTravel\core\messageChain.php", "PHP", 85, 0, 0, 40, 17, 142
"f:\Project\工作文件夹\MiraiTravel\core\miraiApiHttp.php", "PHP", 139, 0, 0, 107, 30, 276
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\config.php", "PHP", 119, 0, 0, 3, 10, 132
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\help.php", "PHP", 22, 0, 0, 3, 7, 32
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\qqBot.php", "PHP", 95, 0, 0, 3, 9, 107
"f:\Project\工作文件夹\MiraiTravel\core\qqObj.php", "PHP", 225, 0, 0, 63, 38, 326
"f:\Project\工作文件夹\MiraiTravel\core\scriptSystem.php", "PHP", 44, 0, 0, 13, 9, 66
"f:\Project\工作文件夹\MiraiTravel\core\webhookAdapter.php", "PHP", 32, 0, 0, 17, 9, 58
"f:\Project\工作文件夹\MiraiTravel\docs\MiraiTravel.md", "Markdown", 0, 29, 0, 0, 10, 39
"f:\Project\工作文件夹\MiraiTravel\docs\QQBot.md", "Markdown", 0, 55, 0, 0, 15, 70
"f:\Project\工作文件夹\MiraiTravel\docs\QQBot\QQBot手册.md", "Markdown", 0, 47, 0, 0, 15, 62
"f:\Project\工作文件夹\MiraiTravel\docs\System.md", "Markdown", 0, 8, 0, 0, 4, 12
"f:\Project\工作文件夹\MiraiTravel\docs\System\开放对象.md", "Markdown", 0, 3, 0, 0, 5, 8
"f:\Project\工作文件夹\MiraiTravel\loadMiraiTravel.php", "PHP", 11, 0, 0, 3, 4, 18
"f:\Project\工作文件夹\MiraiTravel\logs\Script\2771717841\Script.log", "Log", 0, 0, 91, 0, 0, 91
"f:\Project\工作文件夹\MiraiTravel\logs\Script\2771717841\sendMessage.log", "Log", 0, 0, 27, 0, 26, 53
"f:\Project\工作文件夹\MiraiTravel\logs\Script\2771717841\webhook.log", "Log", 0, 0, 49, 0, 0, 49
"f:\Project\工作文件夹\MiraiTravel\logs\httpAdapter.log", "Log", 0, 0, 72, 0, 0, 72
"f:\Project\工作文件夹\MiraiTravel\logs\miraiApiHttp.log", "Log", 0, 0, 52, 0, 0, 52
"f:\Project\工作文件夹\MiraiTravel\logs\miraiTravel.log", "Log", 0, 0, 2, 0, 0, 2
"f:\Project\工作文件夹\MiraiTravel\logs\webhook.log", "Log", 0, 0, 48, 0, 0, 48
"f:\Project\工作文件夹\MiraiTravel\script\Q2771717841.php", "PHP", 129, 0, 0, 16, 14, 159
"f:\Project\工作文件夹\MiraiTravel\webhook.php", "PHP", 27, 0, 0, 6, 13, 46
"Total", "-", 1586, 180, 341, 401, 350, 2858
